VendorName,ProfitMargin,SalesToPurchaseRatio,UnsoldInventoryValue,ActionBucket
JIM BEAM BRANDS COMPANY,21.308377529871866,1.2707833040036844,2210.30000000008,Deprioritise / Exit
WINE GROUP INC,47.2225067682114,1.8947470574401712,4126.20000000019,Scale / Prioritise
"STOLI GROUP,(USA) LLC",25.461759066712613,1.341593237885788,-397.53000000000515,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,20.326948778455787,1.2551295383671615,10870.969999999741,Deprioritise / Exit
REMY COINTREAU USA INC,21.360586556179733,1.271626982205808,6132.0699999999415,Deprioritise / Exit
SAZERAC CO INC,27.39637464229454,1.3773416893070747,3084.8400000000092,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,28.29253339814099,1.394554915114063,-839.0399999999916,Deprioritise / Exit
BROWN-FORMAN CORP,23.880997046132872,1.3137323942696182,-1503.0600000000652,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,26.32851197396994,1.357377225293283,14140.499999999778,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,25.509985898563496,1.3424618213097044,-378.0200000000206,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,24.899577646310224,1.3315504342844335,18142.73999999933,Deprioritise / Exit
E & J GALLO WINERY,32.60534727206889,1.4837972443258232,3703.8900000000826,Deprioritise / Exit
WINE GROUP INC,37.84487291157673,1.608877733573576,-352.91999999997927,Scale / Prioritise
BROWN-FORMAN CORP,31.372171839834156,1.4571348486595956,-5778.410000000064,Deprioritise / Exit
PROXIMO SPIRITS INC.,34.945199467820984,1.5371655770512358,164.88999999999868,Scale / Prioritise
CONSTELLATION BRANDS INC,39.99204945054405,1.6664458473312522,4012.8899999999135,Scale / Prioritise
LUXCO INC,34.27274163996939,1.5214387834684275,2439.0299999998047,Scale / Prioritise
BACARDI USA INC,30.230493202622256,1.4332909116072245,-8821.979999999976,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,9.130127851498319,1.1004747518140847,33287.130000000005,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,27.756613215837895,1.3842097450215742,2381.649999999944,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,25.38617368230688,1.340234175556375,6365.759999999938,Deprioritise / Exit
MARTIGNETTI COMPANIES,32.191480928612506,1.4747409524564596,4166.399999999879,Deprioritise / Exit
E & J GALLO WINERY,44.95340268087236,1.816642714903141,1484.900000000068,Scale / Prioritise
DIAGEO NORTH AMERICA INC,24.289721654234892,1.3208246249380424,11278.92000000012,Deprioritise / Exit
MARTIGNETTI COMPANIES,35.88206171282233,1.5596259435559243,2415.2199999999516,Scale / Prioritise
SAZERAC CO INC,28.391909418508614,1.3964902455567931,-7115.839999999884,Deprioritise / Exit
SAZERAC CO INC,27.372142989116817,1.3768821512249099,-2356.260000000152,Deprioritise / Exit
TREASURY WINE ESTATES,40.21156872409103,1.6725643718351546,-217.29999999998415,Scale / Prioritise
DIAGEO NORTH AMERICA INC,29.400948788240296,1.4164496304639143,-1833.9599999999725,Deprioritise / Exit
"STOLI GROUP,(USA) LLC",29.707518091153794,1.422627246675937,-963.8999999999703,Deprioritise / Exit
MARTIGNETTI COMPANIES,36.60340957714303,1.5773718954441762,2050.9499999998757,Scale / Prioritise
MOET HENNESSY USA INC,34.652034422178104,1.5302695212586463,7831.260000000014,Scale / Prioritise
WINE GROUP INC,39.16359712853965,1.6437526757012144,3544.8600000001416,Scale / Prioritise
JIM BEAM BRANDS COMPANY,26.1649611964706,1.3543705213739237,1107.540000000036,Deprioritise / Exit
CONSTELLATION BRANDS INC,38.78106863565718,1.633481633399523,2113.3500000000904,Scale / Prioritise
PROXIMO SPIRITS INC.,33.58989095534229,1.5057948471783815,3128.3199999999433,Scale / Prioritise
E & J GALLO WINERY,39.34007716220266,1.6485349028121374,14252.41999999983,Scale / Prioritise
SAZERAC CO INC,21.420342043605554,1.2725939842534333,13319.97999999992,Deprioritise / Exit
STE MICHELLE WINE ESTATES,41.09459434861484,1.6976370656340347,4471.79999999987,Scale / Prioritise
BACARDI USA INC,33.199947626547605,1.497004814321701,898.5600000000242,Deprioritise / Exit
WILLIAM GRANT & SONS INC,33.18510458857198,1.4966722522609233,2460.2599999999525,Deprioritise / Exit
SOUTHERN WINE & SPIRITS NE,32.21584073236784,1.4752709346909512,26622.77000000015,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,24.287433297459884,1.3207847039828997,1462.0200000000293,Deprioritise / Exit
BROWN-FORMAN CORP,37.12201589048166,1.5903817753734604,2651.96,Scale / Prioritise
DIAGEO NORTH AMERICA INC,6.805704997596068,1.073027055973979,44365.57999999971,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,25.366955961989078,1.3398890704373465,1519.239999999999,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,19.571377463398594,1.243338463921747,2665.199999999945,Deprioritise / Exit
